,a,datetime,forecast,goals,h,id,isResult,result,side,xG
0,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2018-08-11 17:00:00,"{'w': 0.048372098664190004, 'd': 0.14296456981719902, 'l': 0.808663305708727}","{'h': '0', 'a': '3'}","{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}",9200,True,w,a,"{'h': '0.396115', 'a': '2.31427'}"
1,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",2018-08-18 19:30:00,"{'w': 0.266984188134477, 'd': 0.190923359532986, 'l': 0.542092396058242}","{'h': '3', 'a': '2'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9212,True,w,h,"{'h': '1.71799', 'a': '2.45798'}"
2,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2018-08-26 18:00:00,"{'w': 0.049013820289372005, 'd': 0.24309346551288002, 'l': 0.7078927141177891}","{'h': '1', 'a': '2'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",9225,True,w,a,"{'h': '0.209337', 'a': '1.49669'}"
3,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",2018-09-01 14:00:00,"{'w': 0.40642147612558005, 'd': 0.295993392514562, 'l': 0.297585131357194}","{'h': '2', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9231,True,w,h,"{'h': '1.16408', 'a': '0.950959'}"
4,"{'id': '227', 'title': 'Cardiff', 'short_title': 'CAR'}",2018-09-15 14:00:00,"{'w': 0.764281598943338, 'd': 0.14443475967337402, 'l': 0.09128348184364701}","{'h': '4', 'a': '1'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9241,True,w,h,"{'h': '2.67145', 'a': '0.8276'}"
5,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2018-09-23 12:30:00,"{'w': 0.200932155571438, 'd': 0.22293288099601902, 'l': 0.576134961679247}","{'h': '0', 'a': '0'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",9255,True,d,a,"{'h': '1.0177', 'a': '1.88344'}"
6,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",2018-09-29 16:30:00,"{'w': 0.39621632684906205, 'd': 0.22216607997468202, 'l': 0.381617591757409}","{'h': '1', 'a': '1'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9264,True,d,h,"{'h': '1.77638', 'a': '1.74071'}"
7,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2018-10-07 13:15:00,"{'w': 0.11888129411970101, 'd': 0.123601567113509, 'l': 0.757512151309189}","{'h': '0', 'a': '3'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",9275,True,w,a,"{'h': '1.487', 'a': '3.54699'}"
8,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",2018-10-20 11:30:00,"{'w': 0.6222085179485161, 'd': 0.196569769369029, 'l': 0.18122169830426302}","{'h': '2', 'a': '2'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9277,True,d,h,"{'h': '2.21163', 'a': '1.11454'}"
9,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2018-10-28 12:30:00,"{'w': 0.016725539819918003, 'd': 0.07462434145940301, 'l': 0.908649402717499}","{'h': '0', 'a': '4'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",9295,True,w,a,"{'h': '0.269828', 'a': '3.01621'}"
10,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",2018-11-04 16:00:00,"{'w': 0.721412330315501, 'd': 0.19808883973011301, 'l': 0.080498828151895}","{'h': '3', 'a': '1'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9305,True,w,h,"{'h': '1.88741', 'a': '0.454547'}"
11,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",2018-11-11 14:15:00,"{'w': 0.6184156081051141, 'd': 0.31894038162895205, 'l': 0.06264401026345201}","{'h': '0', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9314,True,d,h,"{'h': '1.16298', 'a': '0.198027'}"
12,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2018-11-24 17:30:00,"{'w': 0.8228647877607981, 'd': 0.10700687183297201, 'l': 0.070125833063834}","{'h': '3', 'a': '1'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",9323,True,l,a,"{'h': '3.34649', 'a': '0.962804'}"
13,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}",2018-12-02 12:00:00,"{'w': 0.814791552392735, 'd': 0.14766769525540901, 'l': 0.037540741043574}","{'h': '2', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9334,True,w,h,"{'h': '2.17105', 'a': '0.285256'}"
14,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2018-12-05 19:45:00,"{'w': 0.22532156926545502, 'd': 0.31916159270663, 'l': 0.45551683802666504}","{'h': '2', 'a': '1'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",9339,True,l,a,"{'h': '0.682893', 'a': '1.10702'}"
15,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",2018-12-08 17:30:00,"{'w': 0.23216373906925503, 'd': 0.402798817217545, 'l': 0.365037443713194}","{'h': '2', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9352,True,w,h,"{'h': '0.526329', 'a': '0.740048'}"
16,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2018-12-16 13:30:00,"{'w': 0.05580523606379301, 'd': 0.225618028536642, 'l': 0.71857673518258}","{'h': '1', 'a': '2'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",9366,True,w,a,"{'h': '0.26126', 'a': '1.6111'}"
17,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",2018-12-22 15:00:00,"{'w': 0.8074009065855691, 'd': 0.13948678447827, 'l': 0.053112266790408}","{'h': '0', 'a': '1'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9373,True,l,h,"{'h': '2.40458', 'a': '0.456492'}"
18,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2018-12-26 19:30:00,"{'w': 0.208933802429302, 'd': 0.20114140751171203, 'l': 0.589924776968626}","{'h': '1', 'a': '2'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",9377,True,w,a,"{'h': '1.24414', 'a': '2.1956'}"
19,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2018-12-30 12:00:00,"{'w': 0.092251932617953, 'd': 0.45021500940380105, 'l': 0.45753305797824}","{'h': '0', 'a': '1'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",9394,True,w,a,"{'h': '0.199002', 'a': '0.741471'}"
20,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",2019-01-02 19:45:00,"{'w': 0.5179996823223251, 'd': 0.41533703686768303, 'l': 0.06666328080995901}","{'h': '0', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9403,True,d,h,"{'h': '0.850791', 'a': '0.158168'}"
21,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",2019-01-12 17:30:00,"{'w': 0.603945745152017, 'd': 0.28606980124019404, 'l': 0.10998445359292501}","{'h': '2', 'a': '1'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9413,True,w,h,"{'h': '1.32355', 'a': '0.395148'}"
22,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-01-19 17:30:00,"{'w': 0.6841882590874501, 'd': 0.19265392139978402, 'l': 0.12315781244272901}","{'h': '2', 'a': '0'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",9426,True,l,a,"{'h': '2.09412', 'a': '0.755304'}"
23,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-01-30 19:45:00,"{'w': 0.7038358293122441, 'd': 0.18471626129069202, 'l': 0.11144789937657101}","{'h': '4', 'a': '0'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",9430,True,l,a,"{'h': '2.15094', 'a': '0.718873'}"
24,"{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}",2019-02-02 15:00:00,"{'w': 0.9045946459537331, 'd': 0.078293372808238, 'l': 0.017111452655511002}","{'h': '5', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9443,True,w,h,"{'h': '2.94236', 'a': '0.260391'}"
25,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-02-10 16:00:00,"{'w': 0.8922398688938311, 'd': 0.068905109864157, 'l': 0.03883258141642}","{'h': '6', 'a': '0'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",9454,True,l,a,"{'h': '4.04218', 'a': '0.901867'}"
26,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",2019-02-27 20:00:00,"{'w': 0.27513168204994304, 'd': 0.391074572079171, 'l': 0.333793745870882}","{'h': '2', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9474,True,w,h,"{'h': '0.625978', 'a': '0.722229'}"
27,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-03-03 14:05:00,"{'w': 0.220340534927319, 'd': 0.25727518918227305, 'l': 0.5223842757762971}","{'h': '1', 'a': '2'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}",9482,True,w,a,"{'h': '0.898469', 'a': '1.53632'}"
28,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",2019-03-10 14:05:00,"{'w': 0.45571148361526304, 'd': 0.33343561805110905, 'l': 0.210852898333054}","{'h': '1', 'a': '1'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9494,True,d,h,"{'h': '1.0471', 'a': '0.609079'}"
29,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-03-17 16:30:00,"{'w': 0.598886688577824, 'd': 0.197771118715436, 'l': 0.203342175716919}","{'h': '2', 'a': '0'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",9503,True,l,a,"{'h': '2.24031', 'a': '1.24394'}"
30,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-03-31 13:05:00,"{'w': 0.06746796439923601, 'd': 0.17346666095596502, 'l': 0.7590653682398311}","{'h': '1', 'a': '2'}","{'id': '227', 'title': 'Cardiff', 'short_title': 'CAR'}",9514,True,w,a,"{'h': '0.446122', 'a': '2.07834'}"
31,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",2019-04-03 19:45:00,"{'w': 0.8889042472396481, 'd': 0.08293285611015001, 'l': 0.028161798607335004}","{'h': '3', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9462,True,w,h,"{'h': '3.12416', 'a': '0.440898'}"
32,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",2019-04-08 20:00:00,"{'w': 0.778403235550792, 'd': 0.158190868240945, 'l': 0.063405879939351}","{'h': '2', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9525,True,w,h,"{'h': '2.23287', 'a': '0.471195'}"
33,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-04-14 16:30:00,"{'w': 0.467130725514931, 'd': 0.283659632323475, 'l': 0.249209642148867}","{'h': '2', 'a': '0'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",9531,True,l,a,"{'h': '1.30839', 'a': '0.873177'}"
34,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",2019-04-22 20:00:00,"{'w': 0.480991868276452, 'd': 0.289685578555681, 'l': 0.229322553158284}","{'h': '2', 'a': '2'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9543,True,d,h,"{'h': '1.28197', 'a': '0.788788'}"
35,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-04-28 16:30:00,"{'w': 0.262865807418705, 'd': 0.245985308233915, 'l': 0.491148884092284}","{'h': '1', 'a': '1'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",9550,True,d,a,"{'h': '1.12483', 'a': '1.6298'}"
36,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",2019-05-05 13:00:00,"{'w': 0.717869032348573, 'd': 0.14777965962486903, 'l': 0.13435072785538502}","{'h': '3', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",9563,True,w,h,"{'h': '2.96478', 'a': '1.2712'}"
37,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-05-12 14:00:00,"{'w': 0.100421019398402, 'd': 0.296622913509047, 'l': 0.60295606708438}","{'h': '0', 'a': '0'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",9572,True,d,a,"{'h': '0.345306', 'a': '1.26735'}"
