,a_goals,a_team,assists,date,goals,h_goals,h_team,id,key_passes,npg,npxG,position,roster_id,season,shots,time,xA,xG,xGBuildup,xGChain
0,1,Brighton,0,2019-05-05,0,1,Arsenal,9566,0,0,0.0,Sub,331100,2018,0,11,0.0,0.0,0.0,0.0
1,0,Arsenal,0,2019-04-28,0,3,Leicester,9552,1,0,0.03475869819521904,DL,328675,2018,1,90,0.06143265962600708,0.03475869819521904,0.37147367000579834,0.4062323570251465
2,1,Arsenal,0,2019-04-24,0,3,Wolverhampton Wanderers,9497,0,0,0.0,Sub,327630,2018,0,30,0.0,0.0,0.0,0.0
3,3,Crystal Palace,0,2019-04-21,0,2,Arsenal,9546,1,0,0.023021478205919266,ML,326732,2018,1,90,0.03162960708141327,0.023021478205919266,0.20621682703495026,0.22923830151557922
4,0,Arsenal,0,2019-04-07,0,1,Everton,9524,0,0,0.0,DML,323228,2018,0,48,0.0,0.0,0.028044715523719788,0.028044715523719788
5,0,Newcastle United,0,2019-04-01,0,2,Arsenal,9507,1,0,0.0,DML,321468,2018,0,90,0.3617500066757202,0.0,0.7172320485115051,0.7172320485115051
6,0,Manchester United,0,2019-03-10,0,2,Arsenal,9496,0,0,0.0,ML,315351,2018,0,90,0.0,0.0,0.11367569118738174,0.11367569118738174
7,1,Bournemouth,1,2019-02-27,0,5,Arsenal,9470,2,0,0.029604118317365646,DML,305049,2018,1,59,0.341229110956192,0.029604118317365646,0.3968344032764435,0.42643851041793823
8,0,Southampton,0,2019-02-24,0,2,Arsenal,9466,2,0,0.0638144463300705,DL,304908,2018,1,90,0.7554365396499634,0.0638144463300705,0.33477944135665894,1.034314751625061
9,2,Arsenal,1,2019-02-09,0,1,Huddersfield,9456,2,0,0.0,DML,304594,2018,0,90,0.09534864127635956,0.0,0.42562136054039,0.5209699869155884
10,1,Arsenal,0,2019-02-03,0,3,Manchester City,9439,0,0,0.03713127225637436,ML,304375,2018,1,68,0.0,0.03713127225637436,0.0,0.03713127225637436
11,1,Cardiff,0,2019-01-29,0,2,Arsenal,9431,1,0,0.05923981964588165,DL,303865,2018,1,90,0.023092955350875854,0.05923981964588165,0.01984259858727455,0.10217537730932236
12,0,Chelsea,0,2019-01-19,0,2,Arsenal,9426,2,0,0.08277518302202225,DL,303783,2018,1,90,0.1729011982679367,0.08277518302202225,0.5352330207824707,0.6180081963539124
13,0,Arsenal,0,2019-01-12,0,1,West Ham,9407,1,0,0.0,DML,303336,2018,0,90,0.09286488592624664,0.0,0.19613337516784668,0.19613337516784668
14,1,Fulham,1,2019-01-01,0,4,Arsenal,9406,4,0,0.0,DML,303076,2018,0,90,1.6844176054000854,0.0,2.2284064292907715,2.2284064292907715
15,1,Arsenal,0,2018-12-29,0,5,Liverpool,9391,0,0,0.0,DL,291523,2018,0,83,0.0,0.0,0.8231444358825684,0.8231444358825684
16,1,Arsenal,0,2018-12-26,0,1,Brighton,9386,0,0,0.0,DL,279237,2018,0,90,0.0,0.0,0.03409630060195923,0.03409630060195923
17,1,Burnley,1,2018-12-22,0,3,Arsenal,9376,2,0,0.0,DL,278757,2018,0,90,0.21998010575771332,0.0,0.40288594365119934,0.5287380814552307
18,0,Huddersfield,0,2018-12-08,0,1,Arsenal,9356,1,0,0.0,ML,278315,2018,0,90,0.045733243227005005,0.0,0.4567142426967621,0.5024474859237671
19,2,Arsenal,0,2018-12-05,0,2,Manchester United,9344,3,0,0.0,DML,278131,2018,0,90,1.1890294551849365,0.0,0.5969655513763428,1.236965298652649
20,2,Tottenham,0,2018-12-02,0,4,Arsenal,9336,5,0,0.0,DML,277867,2018,0,90,0.3628009557723999,0.0,0.4548458456993103,0.6191534399986267
21,2,Arsenal,1,2018-11-25,0,1,Bournemouth,9324,2,0,0.08072996884584427,DML,277577,2018,2,90,0.7340959310531616,0.08072996884584427,0.09970960021018982,0.8148258924484253
22,1,Wolverhampton Wanderers,0,2018-11-11,0,1,Arsenal,9316,0,0,0.0,DL,277342,2018,0,77,0.0,0.0,0.10333359241485596,0.10333359241485596
23,1,Liverpool,0,2018-11-03,0,1,Arsenal,9303,1,0,0.0,DL,276954,2018,0,81,0.5701874494552612,0.0,0.5701874494552612,0.5701874494552612
